"from_country","to_country","total_points"
"fi","it",197
"fr","it",206
"gb","it",77
"ge","it",77
"gr","it",139
"hr","it",116
"hu","it",35
"ie","it",126
"il","it",103
"is","it",66
"it","it",0
"lt","it",81
"lu","it",82
"lv","it",52
"ma","it",0
"mc","it",55
"md","it",52
"me","it",77
"mk","it",86
"mt","it",224
"nl","it",98
"no","it",130
"pl","it",62
"pt","it",237
"ro","it",79
"rs","it",86
"ru","it",47
"se","it",110
"si","it",133
"sk","it",5
"sm","it",137
"tr","it",76
"ua","it",35
"yu","it",94
"ad","lt",13
"al","lt",15
"am","lt",15
"at","lt",17
"au","lt",58
"az","lt",33
"ba","lt",4
"be","lt",49
"bg","lt",49
"by","lt",101
"ch","lt",51
"cs","lt",6
"cy","lt",67
"cz","lt",9
"de","lt",49
"dk","lt",84
"ee","lt",128
"es","lt",20
"fi","lt",38
"fr","lt",18
"gb","lt",218
"ge","lt",127
"gr","lt",16
"hr","lt",77
"hu","lt",13
"ie","lt",246
"il","lt",57
"is","lt",52
"it","lt",62
"lt","lt",0
"lv","lt",240
"mc","lt",11
"md","lt",40
"me","lt",5
"mk","lt",21
"mt","lt",55
"nl","lt",51
"no","lt",187
"pl","lt",67
"pt","lt",64
"ro","lt",27
"rs","lt",32
"ru","lt",58
"se","lt",66
"si","lt",56
"sk","lt",7
"sm","lt",33
"tr","lt",4
"ua","lt",118
"at","lu",72
"ba","lu",0
"be","lu",76
"ch","lu",53
"cy","lu",32
"de","lu",80
"dk","lu",36
"es","lu",71
"fi","lu",83
"fr","lu",89
"gb","lu",87
"gr","lu",25
"hr","lu",0
"ie","lu",95
"il","lu",45
"is","lu",9
"it","lu",79
"lu","lu",0
"ma","lu",0
"mc","lu",43
"mt","lu",36
"nl","lu",81
"no","lu",61
"pt","lu",97
"se","lu",77
"si","lu",1
"tr","lu",26
"yu","lu",69
"ad","lv",12
"al","lv",1
"am","lv",7
"at","lv",25
"au","lv",27
"az","lv",31
"ba","lv",5
"be","lv",48
"bg","lv",4
"by","lv",42
"ch","lv",48
"cs","lv",0
"cy","lv",24
"cz","lv",25
